text,label
جميل جدًا كيف انسكبت القهوة على الورق الأبيض، سخرية
أكيد أنا "مرتاحة" كتير بوزني الزايد، سخرية
واو شو هالسرعة في إنجاز المعاملات، سخرية
رائع كيف حجزت تذكرة لليوم الغلط، سخرية
أكيد هاد الشخص هو "قدوتي" في الحياة، سخرية
يا سلام على "النظام" اللي بنمشي عليه، سخرية
أنا معصب كثير من هالموضوع,غضب
هذا الشيء يرفع الضغط,غضب
مش قادر أتحمل اللي بصير,غضب
تعبت من هالإهمال,غضب
الوضع مستفز جدًا,غضب
عنجد هالشيء بقهر,غضب
ليش هيك بصير دايمًا؟,غضب
أنا زعلان ومعصب بنفس الوقت,غضب
هالقرار غبي جدًا,غضب
ما بطيق هالتصرف,غضب
هذا ظلم واضح,غضب
كله غلط بغلط,غضب
أنا فقدت أعصابي,غضب
هالشيء ما بينسكت عليه,غضب
طفح الكيل من هالمهزلة,غضب
هذا أسوأ شيء صار اليوم,غضب
مش طبيعي اللي بصير,غضب
أنا كثير منزعج من الوضع,غضب
هالحكي مش مقبول أبدًا,غضب
صار الموضوع مستفز زيادة عن اللزوم,غضب
أنا مش راضي عن اللي صار,غضب
كل شيء عم يخرب,غضب
ليش ما حدا مهتم؟,غضب
هالتصرف ما إله أي مبرر,غضب
أنا معصب لدرجة مش طبيعية,غضب
الوضع كله ضغط وغضب,غضب
ما حدا فاهم قديش هذا غلط,غضب
هالموضوع مستفزني جدًا,غضب
أنا وصلت لمرحلة الانفجار,غضب
هذا الشيء بخليني أعصب فورًا,غضب
كل مرة نفس الغلط,غضب
أنا مش قادر أستوعب اللي بصير,غضب
هالحكي بقهر عنجد,غضب
ليش دايمًا بصير معي هيك؟,غضب
أنا متضايق ومعصب بنفس الوقت,غضب
الوضع صار لا يطاق,غضب
هذا الشيء غير مقبول نهائيًا,غضب
أنا فعلاً فقدت صبري,غضب
هالتصرف بيستفز أي حدا,غضب
أنا مش متحمل أكتر,غضب
كل شيء غلط اليوم,غضب
هاللي بصير بخليني أجن,غضب
أنا كثير قلقان ومعصب,غضب
ليش الأمور دايمًا معقدة؟,غضب
هالموقف قهرني,غضب
أنا مش طايق حدا اليوم,غضب
الوضع مستفزني جدًا جدًا,غضب
هذا الشيء ما إله داعي,غضب
أنا معصب من كل اللي حوالي,غضب
هالشيء بخليني أفقد أعصابي بسرعة,غضب
مش قادرة أتحمل قلة المسؤولية هاي أكثر، غضب
ليش دائماً كل شيء بصير عكس ما بدي، غضب
خلص بكفي لحد هون وبس، غضب
أنا فعلاً وصلت لمرحلة الانفجار، غضب
ما حدا يحكي معي بالمرة حالياً، غضب
ليش كل ما أصلح شيء بيخرب شيء ثاني، غضب
قمة الاستهتار اللي عم بصير هون، غضب
أنا ضيعت وقتي على الفاضي مع ناس ما بتقدر، غضب
الموقف هاد مستحيل يمرق على خير، غضب
شو هاد الظلم والافتراء اللي عم بصير، غضب
تعبت وأنا أعيد نفس الحكي مية مرة، غضب
مش معقول قديش فيه ناس ما عندها ضمير، غضب
أنا فعلاً ندمانة إني وثقت فيكم، غضب
كل خططي تدمرت بسبب غباء شخص واحد، غضب
لسا بدكم تقنعوني إنكم ما بتعرفوا، غضب
هاد قمة الوقاحة اللي شفتها بحياتي، غضب
أنا مش قادرة أصدق قديش في كذب هون، غضب
خلص صبري وما عاد في مجال للتفاهم، غضب
الموضوع صار مستفز لدرجة لا تُطاق، غضب
ليش الغلط دائماً بقع براسي أنا، غضب
أنا تعبت من تبرير أخطاء غيري، غضب
ما حدا يتوقع مني أسامح بعد اللي صار، غضب
ليش كل هالتأخير والاستهتار بالمواعيد، غضب
أنا حالياً مش شايفة قدامي من العصبية، غضب
بدي جواب منطقي واحد للي صار، غضب
ليش دائماً الناس بتستغل طيبتي، غضب
أنا فعلاً قرفت من هالوضع المقرف، غضب
مش رح أسكت عن حقي لو شو ما صار، غضب
هاد أسوأ تعامل ممكن أشوفه بحياتي، غضب
كل شيء عم ينهار قدامي وأنا مش قادرة أعمل شيء، غضب
ليش دايماً بتعطلوني عن شغلي، غضب
أنا وصلت لمرحلة اليأس منكم، غضب
ما حدا يحاول يبرر، الغلط واضح، غضب
أنا كرهت الساعة اللي بدأت فيها هاد المشروع، غضب
كل اللي عم بصير هاد مسخرة مش شغل، غضب
ليش قلة الذوق هاي في التعامل، غضب
أنا مش خدامة عند حدا هون، غضب
التجاهل هاد رح يدفعكم الثمن غالي، غضب
أنا انضغطت بما فيه الكفاية، غضب
ليش دائماً بتخلوني أطلع عن طوري، غضب
أنا فعلاً مش طايقة أسمع ولا كلمة، غضب
المكان هاد صار بيئة سامة جداً، غضب
أنا خسرت مجهود شهور بلحظة استهتار، غضب
ليش دايماً بتخربوا علي فرحتي، غضب
أنا رح أحط حد لكل هاد المسخرة، غضب
الموضوع زاد عن حده كتير، غضب
أنا مش مجبورة أتحمل نفسياتكم المريضة، غضب
ليش الكسل هاد والبرود المستفز، غضب
أنا فعلاً انخدعت فيكم للأسف، غضب
هاد الموقف بيبين حقيقتكم المرة، غضب
ليش دايماً لازم أصلح أغلاطكم وراكم، غضب
أنا مخنوقة من كتر الضغط اللي علي، غضب
الكل عم يفكر بمصلحته وبس، غضب
أنا مش رح أعدي هاد الموضوع أبداً، غضب
ليش ما في أي تقدير لتعبي، غضب
أنا فعلاً ندمانة على كل ثانية ضاعت هون، غضب
بدي أخلص من هالهم اللي أنا فيه، غضب
ليش دايماً بتفهموني غلط، غضب
أنا وصلت لمرحلة الانهيار العصبي، غضب
هاد مش عدل أبداً اللي عم بصير، غضب
أنا رح آخد إجراء ما رح يعجب حدا، غضب
ليش اللف والدوران في الحكي، غضب
أنا ما طلبت منكم المستحيل، غضب
كل شيء ضاع بسبب الإهمال، غضب
أنا مش مستعدة أضحي براحتي عشانكم، غضب
ليش دايماً في مشاكل جديدة كل يوم، غضب
أنا فعلاً فقدت أعصابي تماماً، غضب
هاد التصرف غير مقبول نهائياً، غضب
أنا تعبت من التمثيل إني بخير، غضب
ليش كل هاد الحقد والغيرة، غضب
أنا رح أنسحب من كل هاد العبث، غضب
هاد الكلام مستفز جداً وما اله داعي، غضب
أنا عم بشتغل لحالي في هاد الفريق، غضب
ليش دايماً بتطلعوا أعذار واهية، غضب
أنا فعلاً صدمتي فيكم كبيرة، غضب
هاد الوضع صار بخنق ومستحيل يكمل، غضب
أنا مش رح أسمح لأي حدا يقلل مني، غضب
ليش الكل عم يتفرج ولا حدا بيساعد، غضب
أنا شايلة حمل الجبال لحالي، غضب
هاد الفشل هو نتيجة طبيعية لإهمالكم، غضب
أنا مش قادرة أتحمل قلة الذكاء هاي، غضب
ليش دائماً لازم أدافع عن حالي، غضب
أنا فعلاً مليت من الوعود الكاذبة، غضب
هاد التصرف بيبين قلة أصل، غضب
أنا حالياً في قمة الغضب، غضب
ليش دايماً بتخيبوا ظني فيكم، غضب
أنا مش قادرة أستوعب الوقاحة هاي، غضب
هاد الضغط النفسي رح يقتلني، غضب
أنا رح أترك كل شيء وأمشي، غضب
ليش ما في أي نظام في هالمكان، غضب
أنا فعلاً مش طايقة حالي اليوم، غضب
هاد التهديد مش رح يخوفني، غضب
أنا عم بضيع عمري في الفراغ، غضب
ليش دايماً بتخلوا الأمور تتعقد، غضب
أنا وصلت لآخر حدود الصبر، غضب
هاد الاستغلال لازم يتوقف حالاً، غضب
أنا مش رح أكون الضحية المرة هاي، غضب
ليش دايماً بتلوموني على أغلاطكم، غضب
أنا فعلاً كرهت كل شيء بخصكم، غضب
هاد هو أسوأ يوم في حياتي، غضب
أنا متوتر من الامتحان,توتر
حاس حالي مضغوط كثير,توتر
قلقان من النتيجة,توتر
مش مرتاح من الوضع,توتر
عندي توتر كبير اليوم,توتر
حاس بقلق بدون سبب واضح,توتر
مش عارف أركز من التوتر,توتر
حاس حالي مشدود طول الوقت,توتر
الضغط عم يزيد علي,توتر
مش قادر أهدى من التوتر,توتر
قلبي بدق بسرعة من القلق,توتر
حاس إني متوتر من كل شي,توتر
مش عارف شو رح يصير,توتر
كل شيء مقلقني اليوم,توتر
أنا متوتر قبل المقابلة,توتر
حاس بضغط نفسي كبير,توتر
مش قادر أرتاح,توتر
عندي رهبة من اللي جاي,توتر
حاس إني تحت ضغط كبير,توتر
مش عارف أسيطر على توتري,توتر
القلق مسيطر علي,توتر
حاس إني مش جاهز,توتر
أنا قلقان من المستقبل,توتر
مش عارف أنام من التوتر,توتر
حاسي حالي مش مرتاح أبدًا,توتر
كل ما أفكر بالموضوع بتوتر,توتر
حاس بارتباك كبير,توتر
مش قادر أتنفس براحة,توتر
عندي توتر قبل العرض,توتر
حاس بضغط من كل الجهات,توتر
مش قادر أركز على شيء,توتر
القلق عم ياكلني,توتر
حاس إني رح أغلط,توتر
مش مرتاح من اللي بصير,توتر
كل شيء حوالَي مسببلي توتر,توتر
حاس بقلق مستمر,توتر
أنا متوتر من المسؤولية,توتر
مش عارف شو أعمل,توتر
حاس إني تايه من التوتر,توتر
الضغط كبير علي اليوم,توتر
مش قادر أهدى أعصابي,توتر
حاس إني مش مسيطر على وضعي,توتر
القلق مخليني مشتت,توتر
مش عارف أتصرف صح,توتر
حاس بارتباك وخوف,توتر
أنا متوتر من التقييم,توتر
كل شي مقلقني,توتر
حاس إني مش مرتاح نهائي,توتر
الضغط عم يخنقني,توتر
مش قادر أفكر بوضوح,توتر
حاسة قلبي رح يوقف من كتر القلق، توتر
مش عارفة كيف رح ألحق أخلص كل هاد، توتر
خايفة جداً إنه الوقت يخلص قبل ما أبدأ، توتر
حاسة راسي رح ينفجر من التفكير، توتر
إيدي عم ترجف وأنا بشتغل، توتر
مش قادرة أركز بأي شيء من الخوف، توتر
شو رح يصير لو فشلت في هاد الاختبار، توتر
حاسة إني ناسية شيء كتير مهم، توتر
مش جايني نوم من كتر التفكير بالموعد، توتر
ضغط الشغل صار فوق طاقتي بكتير، توتر
خايفة تكون النتيجة مش زي ما توقعت، توتر
حاسة حالي تايهة ومش عارفة من وين أبدأ، توتر
قلبي عم يدق بسرعة جنونية حالياً، توتر
ليش حاسة إنه الكل عم يراقب فيي، توتر
خايفة أغلط غلطة تضيع كل مجهودي، توتر
نفسي ضيق وحاسة إني مخنوقة، توتر
الوقت عم يمر بسرعة وأنا لسا مكاني، توتر
مش قادرة آكل ولا أشرب من التوتر، توتر
حاسة بضغط كبير على كتافي، توتر
يا رب تمر هاي الفترة على خير، توتر
ليش حاسة إني مش مستعدة أبداً، توتر
خايفة ينرفض المشروع بعد كل هالتعب، توتر
حاسة إني عم بسابق الزمن، توتر
مش عارفة شو أرد لو سألوني سؤال صعب، توتر
تفكيري مشوش جداً ومش قادرة أقرر، توتر
حاسة إني رح أعيط من كتر الضغط، توتر
كل ما قرب الموعد بزيد خوفي، توتر
خايفة أكون قصرت بشيء من غير ما أعرف، توتر
مش قادرة أقعد بمكاني من القلق، توتر
حاسة إني تحت المجهر طول الوقت، توتر
ليش دائماً بحط حالي بهاد الموقف الصعب، توتر
خايفة أخيب ظن أهلي فيي، توتر
حاسة إني بوسط دوامة مش عارفة أطلع منها، توتر
جسمي كله مشدود وحاسة بتعب غريب، توتر
مش قادرة أوقف تفكير بالسيناريوهات السيئة، توتر
خايفة الجهاز يعلق وأنا بنص التسليم، توتر
حاسة إني فقدت السيطرة على الأمور، توتر
يا رب تيسرها لأنه الوضع صار فوق طاقتي، توتر
خايفة أكون فهمت التعليمات غلط، توتر
مش عارفة كيف رح أواجه الناس لو فشلت، توتر
حاسة إني رح أنسى كل شيء بمجرد ما أبدأ، توتر
ليش دائماً بصير معي هيك بالوقت الضيق، توتر
خايفة تضيع علي الفرصة بسبب التوتر، توتر
مش قادرة أسمع صوت دقات قلبي من قوتها، توتر
حاسة إني بمشي على حبل رفيع، توتر
تفكيري بالمستقبل عم يخليني مشلولة، توتر
خايفة أكون اخترت الطريق الغلط، توتر
حاسة ببرودة بأطرافي من الخوف، توتر
مش عارفة أرتب أفكاري أبداً، توتر
يا رب صبرني على هاد الضغط النفسي، توتر
خايفة إنه مجهودي ما يكون كافي، توتر
حاسة إني بسباق وما رح أوصل للنهاية، توتر
ليش الأمور صارت معقدة هيك فجأة، توتر
مش قادرة أخد نفس عميق، توتر
خايفة أكون نسيت نقطة أساسية بالموضوع، توتر
حاسة إني رح أنهار لو زاد الضغط أكثر، توتر
تفكيري بالنتيجة عم يمنعني من الإنجاز، توتر
يا رب عدّي هالساعة على خير، توتر
خايفة أكون بالغت بتقدير قدراتي، توتر
حاسة إني بوسط حلم مزعج ومش قادرة أصحى، توتر
مش عارفة أنام ولا دقيقة من القلق، توتر
ليش دائماً بترك كل شيء لآخر لحظة، توتر
خايفة من ردة فعل الناس على شغلي، توتر
حاسة إني مش قد المسؤولية هاي، توتر
تفكيري عم يروح لأبعد وأسوأ الاحتمالات، توتر
يا رب تعطيني القوة عشان أخلص، توتر
خايفة أكون ضيعت وقتي على شيء غلط، توتر
حاسة إني رح أدوخ من كتر التفكير، توتر
مش قادرة أركز بكلام اللي قدامي، توتر
ليش قلبي مش مطمن لهاد الموعد، توتر
خايفة أتلعثم بالحكي قدام الكل، توتر
حاسة إني محبوسة بداخل أفكاري، توتر
تفكيري صار مشتت بين مية شغلة، توتر
يا رب ارحمني من هاد التردد، توتر
خايفة أندم على قرار أخدته وأنا متوترة، توتر
حاسة إني بماراثون لا ينتهي، توتر
مش قادرة أتحمل صوت الساعة وهي بتدق، توتر
ليش حاسة إني الوحيدة اللي مش فاهمة، توتر
خايفة تكون كل توقعاتي غلط، توتر
حاسة بخوف مجهول السبب بصدري، توتر
تفكيري بالامتحان عم يخليني مريضة، توتر
يا رب تكون النتيجة مرضية بعد كل هاد، توتر
خايفة أكون ضيعت فرصة العمر، توتر
حاسة إني رح أفقد أعصابي من الانتظار، توتر
مش قادرة أطفي عقلي ولو لثانية، توتر
ليش حاسة إني بتهرب من الواقع، توتر
خايفة أطلع بشكل مش لائق، توتر
حاسة إني رح أفشل بأول خطوة، توتر
تفكيري بالانتقاد عم يدمر ثقتي، توتر
يا رب سترك من اللي جاي، توتر
خايفة أكون نسيت كتابة اسمي حتى، توتر
حاسة إني مخدرة ومش قادرة أتحرك، توتر
مش قادرة أتحمل نظرات الناس لي، توتر
ليش بحس إني دائماً متأخرة عن غيري، توتر
خايفة أكون ضيعت الملف الأساسي، توتر
حاسة بتقل بصدري مش عم يروح، توتر
تفكيري بكلام المدير عم يوترني، توتر
يا رب تمر هاي الأزمة بسلام، توتر
خايفة أكون ما عملت اللي علي بصدق، توتر
حاسة إني رح أنفجر من كتر الكتمان، توتر
تعبت وما في نتيجة,إحباط
حاس ما في فايدة من المحاولة,إحباط
كل ما أحاول أفشل,إحباط
ما في شيء عم يزبط معي,إحباط
حاس حالي منهك نفسيًا,إحباط
ما عاد عندي طاقة أكمل,إحباط
تعبت من الفشل المتكرر,إحباط
مش شايف أي تقدم,إحباط
حاس كل جهدي بيروح عالفاضي,إحباط
ما في أمل يتحسن الوضع,إحباط
كل شيء عم ينهار قدامي,إحباط
مش قادر أحقق أي إنجاز,إحباط
حاس حالي عالق بمكان واحد,إحباط
ما في نتيجة رغم التعب,إحباط
تعبت من الانتظار بدون فائدة,إحباط
كل محاولاتي بتنتهي بالفشل,إحباط
حاس إني عالق وما بتقدم,إحباط
ما في تغيير أبدًا,إحباط
فقدت الحماس لكل شيء,إحباط
مش قادر أكمل بنفس القوة,إحباط
حاس الدنيا واقفة ضدي,إحباط
كل الطرق مسكرة بوجهي,إحباط
ما في أي أمل واضح,إحباط
تعبت من الإحساس بالفشل,إحباط
مش قادر أغير وضعي,إحباط
حاس كل شيء صعب بدون نتيجة,إحباط
ما في أي تقدم يذكر,إحباط
فقدت الرغبة بالمحاولة,إحباط
حاس إني عم أضيع وقتي,إحباط
كل مرة نفس النتيجة,إحباط
ما في شيء يتحسن,إحباط
حاس حالي محبط جدًا,إحباط
تعبت من المحاولات الفاشلة,إحباط
مش شايف أي بصيص أمل,إحباط
كل شيء عم ينهار تدريجيًا,إحباط
ما في دافع أكمل,إحباط
حاس إني عالق بدون حل,إحباط
تعبت نفسيًا من الوضع,إحباط
ما في شيء بيساعدني أتحسن,إحباط
كل مجهودي بلا نتيجة,إحباط
حاس حالي عم أرجع لنقطة الصفر,إحباط
ما في تقدم نهائيًا,إحباط
فقدت الأمل من التغيير,إحباط
مش قادر أشوف حل,إحباط
حاس كل شيء ضدي,إحباط
تعبت من المحاولة بدون نجاح,إحباط
ما في أي نتيجة إيجابية,إحباط
حاس حالي محاصر بالفشل,إحباط
كل يوم نفس الإحساس الفارغ,إحباط
مش قادر أتحمل الإحباط أكثر,إحباط
لا فائدة من المحاولة مرة أخرى، احباط
كل الأبواب مغلقة في وجهي، احباط
تعبت من الركض وراء سراب، احباط
مهما فعلت لن يتغير أي شيء، احباط
أشعر أنني أضيع وقتي في المكان الخطأ، احباط
فقدت الرغبة في إكمال هذا المشروع، احباط
لماذا دائماً تنتهي محاولاتي بالفشل، احباط
أشعر أنني لا أملك الموهبة الكافية، احباط
كلما تقدمت خطوة رجعت عشر خطوات للخلف، احباط
لا أحد يقدر حجم التضحيات التي أقدمها، احباط
لم يعد يهمني إذا نجح الأمر أم لا، احباط
أشعر بخيبة أمل كبيرة في نفسي، احباط
كل أحلامي تتبخر أمام عيني، احباط
توقعت الكثير ولكن الواقع كان صادماً، احباط
أشعر أنني عالقة في نقطة الصفر، احباط
لا يوجد بصيص أمل في نهاية الطريق، احباط
أعطيت كل ما لدي ولم أحصل على شيء، احباط
أشعر بالانطفاء التام، احباط
لماذا يستمر الآخرون بالنجاح بينما أتعثر أنا، احباط
فقدت الشغف الذي كان يحركني، احباط
كل الوعود التي تلقيتها كانت كاذبة، احباط
أشعر أنني غير مرئية ولا أحد يهتم، احباط
لقد استنفدت كل طاقي ولم يعد لدي ما أقدمه، احباط
أصعب شعور هو أن تبذل مجهوداً ويذهب سدى، احباط
كنت أظن أنني قريبة من الوصول، احباط
أشعر بالخذلان من أقرب الناس لي، احباط
لا شيء يسير كما خططت له أبداً، احباط
أريد فقط أن أستسلم وأتوقف عن المحاولة، احباط
الحياة تعطيني الدروس القاسية فقط، احباط
أشعر أنني عبء على كل من حولي، احباط
لقد كسر هذا الموقف شيئاً بداخلي، احباط
تعبت من التظاهر بأن كل شيء سيكون بخير، احباط
أشعر أن طاقتي استُهلكت بالكامل، احباط
كل الطرق تؤدي إلى نفس النهاية الحزينة، احباط
أنا لست كافية ولن أكون أبداً، احباط
ضاعت سنوات عمري في ملاحقة الأوهام، احباط
أشعر ببرود وتجاهل يقتلني، احباط
لا أجد الكلمات لوصف حجم خيبة أملي، احباط
لقد فات الأوان لإصلاح أي شيء، احباط
لماذا يجب أن يكون كل شيء صعباً هكذا، احباط
أشعر أنني أسقط في بئر لا نهاية له، احباط
كل مجهوداتي تُقابل بالرفض، احباط
